t_ms,neuron_id,field,value
19,32,Vm_mV,-60.0
19,33,Vm_mV,-60.0
19,34,Vm_mV,-60.0
20,0,Vm_mV,-60.0
20,1,Vm_mV,-60.0
20,2,Vm_mV,-60.0
20,3,Vm_mV,-60.0
20,4,Vm_mV,-60.0
20,5,Vm_mV,-60.0
20,6,Vm_mV,-60.0
20,7,Vm_mV,-60.0
20,8,Vm_mV,-60.0
20,9,Vm_mV,-60.0
20,10,Vm_mV,-60.0
20,11,Vm_mV,-60.0
20,12,Vm_mV,-60.0
20,13,Vm_mV,-60.0
20,14,Vm_mV,-60.0
20,15,Vm_mV,-60.0
20,16,Vm_mV,-60.0
20,17,Vm_mV,-60.0
20,18,Vm_mV,-60.0
20,19,Vm_mV,-60.0
20,20,Vm_mV,-60.0
20,21,Vm_mV,-60.0
20,22,Vm_mV,-60.0
20,23,Vm_mV,-60.0
20,24,Vm_mV,-60.0
20,25,Vm_mV,-60.0
20,26,Vm_mV,-60.0
20,27,Vm_mV,-60.0
20,28,Vm_mV,-60.0
20,29,Vm_mV,-60.0
20,30,Vm_mV,-60.0
20,31,Vm_mV,-60.0
20,32,Vm_mV,-60.0
20,33,Vm_mV,-60.0
20,34,Vm_mV,-60.0
21,0,Vm_mV,-60.0
21,1,Vm_mV,-60.0
21,2,Vm_mV,-60.0
21,3,Vm_mV,-60.0
21,4,Vm_mV,-60.0
21,5,Vm_mV,-60.0
21,6,Vm_mV,-60.0
21,7,Vm_mV,-60.0
21,8,Vm_mV,-60.0
21,9,Vm_mV,-60.0
21,10,Vm_mV,-60.0
21,11,Vm_mV,-60.0
21,12,Vm_mV,-60.0
21,13,Vm_mV,-60.0
21,14,Vm_mV,-60.0
21,15,Vm_mV,-60.0
21,16,Vm_mV,-60.0
21,17,Vm_mV,-60.0
21,18,Vm_mV,-60.0
21,19,Vm_mV,-60.0
21,20,Vm_mV,-60.0
21,21,Vm_mV,-60.0
21,22,Vm_mV,-60.0
21,23,Vm_mV,-60.0
21,24,Vm_mV,-60.0
21,25,Vm_mV,-60.0
21,26,Vm_mV,-60.0
21,27,Vm_mV,-60.0
21,28,Vm_mV,-60.0
21,29,Vm_mV,-60.0
21,30,Vm_mV,-60.0
21,31,Vm_mV,-60.0
21,32,Vm_mV,-60.0
21,33,Vm_mV,-60.0
21,34,Vm_mV,-60.0
22,0,Vm_mV,-60.0
22,1,Vm_mV,-60.0
22,2,Vm_mV,-60.0
22,3,Vm_mV,-60.0
22,4,Vm_mV,-60.0
22,5,Vm_mV,-60.0
22,6,Vm_mV,-60.0
22,7,Vm_mV,-60.0
22,8,Vm_mV,-60.0
22,9,Vm_mV,-60.0
22,10,Vm_mV,-60.0
22,11,Vm_mV,-60.0
22,12,Vm_mV,-60.0
22,13,Vm_mV,-60.0
22,14,Vm_mV,-60.0
22,15,Vm_mV,-60.0
22,16,Vm_mV,-60.0
22,17,Vm_mV,-60.0
22,18,Vm_mV,-60.0
22,19,Vm_mV,-60.0
22,20,Vm_mV,-60.0
22,21,Vm_mV,-60.0
22,22,Vm_mV,-60.0
22,23,Vm_mV,-60.0
22,24,Vm_mV,-60.0
22,25,Vm_mV,-60.0
22,26,Vm_mV,-60.0
22,27,Vm_mV,-60.0
22,28,Vm_mV,-60.0
22,29,Vm_mV,-60.0
22,30,Vm_mV,-60.0
